player_id,player_name,position,is_starter,predicted_points,predicted_minutes,predicted_goals_scored,predicted_assists,predicted_yellow_cards,predicted_bonus,predicted_saves,predicted_clean_sheet,predicted_goals_conceded,actual_points
670,Roefs,GK,1,4.768547719326456,90.0,0.0,0.0,0.1428571428571417,0.4317632994620481,4.222222222222194,1.5471681922534657,-0.4749340369393139,4
5,Gabriel,DEF,1,5.418235391657953,86.75189809811971,0.1324143490528021,0.1352980132450338,0.0666666666666679,0.6680167364016738,0.0,1.970506946885984,-0.3540017590149516,9
225,James,DEF,1,4.9607427402238375,86.65385957587547,0.1442736223872853,0.2862582781456954,0.0714285714285708,0.5055588762701737,0.0,1.3465647042828714,-0.544368837661436,1
403,Gvardiol,DEF,1,4.645500791384896,87.34889147035517,0.1408878908274305,0.1400898770104064,0.1428571428571417,0.3570233114166166,0.0,1.6182210982021137,-0.4524834513724945,2
414,Foden,MID,1,5.845100293072304,88.66095734195206,0.5029193297633441,0.0712157048249764,0.0,0.712301255230126,0.0,0.4045552745505283,-0.0,1
47,Rogers,MID,1,5.58162623802715,89.87523863554497,0.4648448206368392,0.1956070640176608,0.2666666666666717,0.6642119944211986,0.0,0.2730356150354445,-0.0,3
20,Trossard,MID,1,5.569243124223092,72.09863830655812,0.3349778315195491,0.2681015452538639,0.0,0.5974225941422584,0.0,0.492626736721496,-0.0,3
82,Semenyo,MID,1,5.427745650917834,89.07046682515669,0.3997742845626749,0.268344370860928,0.2666666666666717,0.7340362622036257,0.0,0.1564715199847214,-0.0,3
21,Rice,MID,1,5.374738836293867,89.65263777825803,0.2700685207577596,0.1990286975717447,0.0666666666666679,1.0013500697350062,0.0,0.492626736721496,-0.0,7
430,Haaland,FWD,1,7.924809563596833,89.38093707225704,0.9275004318535158,0.2151371807000943,0.0,1.5693962940824866,0.0,0.0,-0.0,2
691,Calvert-Lewin,FWD,1,5.572866259371133,82.68499718385493,0.5733805493176722,0.0706480605487229,0.0,1.0673998804542746,0.0,0.0,-0.0,2
565,Vicario,GK,0,3.98501775572549,90.0,0.0,0.0,0.0714285714285708,0.1426300059772862,3.8333333333333366,1.2269286975442537,-0.5908901541452576,6
714,Woltemade,FWD,0,4.793449039904277,81.62114358955898,0.4291069269303847,0.1447492904446542,0.0,0.6427734608487748,0.0,0.0,-0.0,2
228,Gusto,DEF,0,4.514729462441222,79.3962762212573,0.1417861461392286,0.1425023651844839,0.0714285714285708,0.5057381948595336,0.0,1.3465647042828714,-0.544368837661436,0
8,J.Timber,DEF,0,4.424735100956277,88.31711944384408,0.0,0.2028697571743936,0.0666666666666679,0.2662873082287306,0.0,1.970506946885984,-0.3540017590149516,6
