player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,6,1,5.832,2
5,Gabriel,DEF,6,1,7.790999999999999,13
8,J.Timber,DEF,6,1,6.624,2
258,Mitchell,DEF,6,1,6.304,4
411,O’Reilly,DEF,6,1,5.958,2
256,Muñoz,DEF,6,1,5.924,2
119,Mbeumo,MID,6,1,7.333,2
299,Ndiaye,MID,6,1,5.127000000000001,2
430,Haaland,FWD,6,1,9.225,16
249,João Pedro,FWD,6,1,6.034,2
136,Thiago,FWD,6,1,5.442,13
469,Pope,GK,6,0,3.711,2
381,M.Salah,MID,6,0,4.917,2
21,Rice,MID,6,0,4.861,9
449,B.Fernandes,MID,6,0,4.723,-1
