player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,7,1,5.69,6
5,Gabriel,DEF,7,1,8.155,9
260,Guéhi,DEF,7,1,6.133000000000001,3
226,Chalobah,DEF,7,1,6.041,0
258,Mitchell,DEF,7,1,5.772,1
37,Digne,DEF,7,1,5.322,1
119,Mbeumo,MID,7,1,6.702000000000001,6
26,Zubimendi,MID,7,1,5.908999999999999,3
430,Haaland,FWD,7,1,10.245,8
136,Thiago,FWD,7,1,6.267,2
249,João Pedro,FWD,7,1,6.051,2
670,Roefs,GK,7,0,4.576,2
381,M.Salah,MID,7,0,4.781,2
241,Caicedo,MID,7,0,4.6370000000000005,10
120,Schade,MID,7,0,4.621,1
