player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,2,1,5.788,6
5,Gabriel,DEF,2,1,8.265,6
260,Guéhi,DEF,2,1,6.029999999999999,2
258,Mitchell,DEF,2,1,5.681,1
7,Calafiori,DEF,2,1,5.329000000000001,13
226,Chalobah,DEF,2,1,5.314,8
119,Mbeumo,MID,2,1,7.239,2
82,Semenyo,MID,2,1,6.319,6
430,Haaland,FWD,2,1,11.056,2
136,Thiago,FWD,2,1,5.323,2
249,João Pedro,FWD,2,1,4.855,15
670,Roefs,GK,2,0,3.524,1
236,Neto,MID,2,0,4.775,7
120,Schade,MID,2,0,4.715,3
350,Aaronson,MID,2,0,4.298,1
