player_id,player_name,position,round,is_starter,predicted_points,actual_points
565,Vicario,GK,6,1,5.766022538165802,2
1,Raya,GK,6,1,5.739284627214862,2
8,J.Timber,DEF,6,1,6.633151293881528,2
411,O’Reilly,DEF,6,1,5.806986935131382,2
5,Gabriel,DEF,6,1,5.645601293881529,13
7,Calafiori,DEF,6,1,5.145451293881528,1
119,Mbeumo,MID,6,1,6.121584800989861,2
236,Neto,MID,6,1,5.871519915198004,2
430,Haaland,FWD,6,1,8.687050000000001,16
136,Thiago,FWD,6,1,6.2704,13
249,João Pedro,FWD,6,1,5.6476500000000005,2
37,Digne,DEF,6,0,5.116105553232441,5
82,Semenyo,MID,6,0,4.782081016662537,7
21,Rice,MID,6,0,4.675267581805715,9
59,Onana,MID,6,0,4.572325084038501,0
