player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,3,1,5.680984627214862,2
670,Roefs,GK,3,1,5.538928269421933,8
5,Gabriel,DEF,3,1,6.354901293881528,2
8,J.Timber,DEF,3,1,5.7380512938815285,2
260,Guéhi,DEF,3,1,5.603430843131825,15
411,O’Reilly,DEF,3,1,5.582636935131382,1
82,Semenyo,MID,3,1,9.05310796489926,2
236,Neto,MID,3,1,5.823610062441462,3
430,Haaland,FWD,3,1,9.95755,9
178,Welbeck,FWD,3,1,7.09375,2
136,Thiago,FWD,3,1,5.84365,6
37,Digne,DEF,3,0,5.39490463990814,1
119,Mbeumo,MID,3,0,5.362061334903762,10
390,Gravenberch,MID,3,0,4.897480374830857,2
21,Rice,MID,3,0,4.836067581805715,4
