player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,9,1,5.589613504241028,6
8,J.Timber,DEF,9,1,6.578113504241027,6
411,O’Reilly,DEF,9,1,6.230650199740257,1
5,Gabriel,DEF,9,1,6.036263504241028,9
260,Guéhi,DEF,9,1,6.028180897439762,4
37,Digne,DEF,9,1,5.9369004865654045,6
82,Semenyo,MID,9,1,9.13315079838682,3
266,Eze,MID,9,1,5.1403961940821645,11
430,Haaland,FWD,9,1,9.795850000000002,2
136,Thiago,FWD,9,1,6.7904,5
283,Mateta,FWD,9,1,6.00705,2
670,Roefs,GK,9,0,5.551122219899107,4
390,Gravenberch,MID,9,0,5.015312120458778,0
668,Xhaka,MID,9,0,4.945225084038501,2
271,Kamada,MID,9,0,4.767465226158934,2
