player_id,player_name,position,round,is_starter,predicted_points,actual_points
670,Roefs,GK,10,1,5.823275911449226,2
1,Raya,GK,10,1,5.7981267964383445,6
8,J.Timber,DEF,10,1,7.1683434631050105,6
260,Guéhi,DEF,10,1,6.079232700686733,10
5,Gabriel,DEF,10,1,6.0680934631050105,12
37,Digne,DEF,10,1,5.759307880498618,1
82,Semenyo,MID,10,1,8.435670496853689,2
119,Mbeumo,MID,10,1,5.263034800989861,2
430,Haaland,FWD,10,1,8.8862,13
136,Thiago,FWD,10,1,7.165,2
714,Woltemade,FWD,10,1,5.9644,1
7,Calafiori,DEF,10,0,5.474443463105011,6
120,Schade,MID,10,0,4.586530494242449,1
59,Onana,MID,10,0,4.564748986795319,1
21,Rice,MID,10,0,4.4400451016041895,13
