player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,14,1,4.543000000000001,6
226,Chalobah,DEF,14,1,7.0680000000000005,1
256,Muñoz,DEF,14,1,5.878,14
7,Calafiori,DEF,14,1,5.041,7
260,Guéhi,DEF,14,1,4.939,14
119,Mbeumo,MID,14,1,6.645999999999999,2
82,Semenyo,MID,14,1,5.208,4
449,B.Fernandes,MID,14,1,4.809,4
430,Haaland,FWD,14,1,9.062,14
249,João Pedro,FWD,14,1,6.1530000000000005,2
136,Thiago,FWD,14,1,5.254,1
736,Donnarumma,GK,14,0,3.12,0
266,Eze,MID,14,0,4.715999999999999,1
381,M.Salah,MID,14,0,4.583,1
694,Mukiele,DEF,14,0,4.556,0
