player_id,player_name,position,round,is_starter,predicted_points,actual_points
1,Raya,GK,4,1,5.718273631742429,6
8,J.Timber,DEF,4,1,6.759823631742429,8
260,Guéhi,DEF,4,1,6.315031622974165,6
5,Gabriel,DEF,4,1,5.970873631742428,9
411,O’Reilly,DEF,4,1,5.809400199740257,6
82,Semenyo,MID,4,1,7.11565079838682,13
119,Mbeumo,MID,4,1,6.444720496853688,2
21,Rice,MID,4,1,5.900924845330667,1
430,Haaland,FWD,4,1,8.13975,13
136,Thiago,FWD,4,1,7.262350000000001,1
178,Welbeck,FWD,4,1,5.96445,2
670,Roefs,GK,4,0,5.4713546399081405,10
488,Bruno G.,MID,4,0,5.778813440746961,2
225,James,DEF,4,0,5.744962120688635,1
236,Neto,MID,4,0,5.700247808096521,2
