player_id,player_name,position,round,is_starter,predicted_points
1,Raya,GK,12,1,5.8100000000000005
5,Gabriel,DEF,12,1,8.097999999999999
8,J.Timber,DEF,12,1,7.481999999999999
256,Muñoz,DEF,12,1,6.0329999999999995
226,Chalobah,DEF,12,1,5.891
411,O’Reilly,DEF,12,1,5.79
119,Mbeumo,MID,12,1,7.353
82,Semenyo,MID,12,1,5.856999999999999
430,Haaland,FWD,12,1,8.431000000000001
249,João Pedro,FWD,12,1,6.093999999999999
136,Thiago,FWD,12,1,5.003
670,Roefs,GK,12,0,3.8369999999999997
16,Saka,MID,12,0,4.921000000000001
381,M.Salah,MID,12,0,4.688
299,Ndiaye,MID,12,0,4.611
