player_id,player_name,position,round,is_starter,predicted_points
670,Roefs,GK,17,1,4.955
226,Chalobah,DEF,17,1,6.843000000000001
317,Andersen,DEF,17,1,5.316000000000001
531,Ballard,DEF,17,1,5.115
16,Saka,MID,17,1,6.522
488,Bruno G.,MID,17,1,5.984
160,Minteh,MID,17,1,5.833
517,Anderson,MID,17,1,5.0280000000000005
329,Wilson,MID,17,1,4.9319999999999995
430,Haaland,FWD,17,1,10.7
136,Thiago,FWD,17,1,4.984
736,Donnarumma,GK,17,0,3.473
411,O'Reilly,DEF,17,0,4.74
225,James,DEF,17,0,4.5329999999999995
624,Bowen,FWD,17,0,3.2640000000000002
